date,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year
2023-01-01 09:43:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 10:35:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 11:47:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 12:41:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 13:15:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 13:16:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 14:08:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 16:11:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 17:16:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 17:26:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 17:42:00,2023,1,1,January,1,6,Sunday,52
2023-01-01 20:25:00,2023,1,1,January,1,6,Sunday,52
2023-01-02 09:40:00,2023,1,1,January,2,0,Monday,1
2023-01-02 09:44:00,2023,1,1,January,2,0,Monday,1
2023-01-02 09:48:00,2023,1,1,January,2,0,Monday,1
2023-01-02 09:49:00,2023,1,1,January,2,0,Monday,1
2023-01-02 09:54:00,2023,1,1,January,2,0,Monday,1
2023-01-02 10:34:00,2023,1,1,January,2,0,Monday,1
2023-01-02 11:16:00,2023,1,1,January,2,0,Monday,1
2023-01-02 11:19:00,2023,1,1,January,2,0,Monday,1
2023-01-02 11:36:00,2023,1,1,January,2,0,Monday,1
2023-01-02 11:44:00,2023,1,1,January,2,0,Monday,1
2023-01-02 11:47:00,2023,1,1,January,2,0,Monday,1
2023-01-02 13:32:00,2023,1,1,January,2,0,Monday,1
2023-01-02 13:35:00,2023,1,1,January,2,0,Monday,1
2023-01-02 14:02:00,2023,1,1,January,2,0,Monday,1
2023-01-02 15:19:00,2023,1,1,January,2,0,Monday,1
2023-01-02 15:31:00,2023,1,1,January,2,0,Monday,1
2023-01-02 16:00:00,2023,1,1,January,2,0,Monday,1
2023-01-02 16:11:00,2023,1,1,January,2,0,Monday,1
2023-01-02 17:18:00,2023,1,1,January,2,0,Monday,1
2023-01-02 17:43:00,2023,1,1,January,2,0,Monday,1
2023-01-02 17:47:00,2023,1,1,January,2,0,Monday,1
2023-01-02 17:53:00,2023,1,1,January,2,0,Monday,1
2023-01-02 18:03:00,2023,1,1,January,2,0,Monday,1
2023-01-02 18:06:00,2023,1,1,January,2,0,Monday,1
2023-01-02 18:46:00,2023,1,1,January,2,0,Monday,1
2023-01-02 18:56:00,2023,1,1,January,2,0,Monday,1
2023-01-02 19:05:00,2023,1,1,January,2,0,Monday,1
2023-01-02 19:09:00,2023,1,1,January,2,0,Monday,1
2023-01-02 19:15:00,2023,1,1,January,2,0,Monday,1
2023-01-02 19:22:00,2023,1,1,January,2,0,Monday,1
2023-01-02 19:29:00,2023,1,1,January,2,0,Monday,1
